Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/09/2024,01/10/2024,MINT MOBILE,Bills & Utilities,Sale,-200.27,
01/02/2024,01/02/2024,Payment Thank You-Mobile,,Payment,121.02,
01/02/2024,01/02/2024,Amazon Prime*MZ5719KH3,Bills & Utilities,Sale,-16.15,
12/21/2023,12/22/2023,AMZN Mktp US*G17C30H43,Shopping,Sale,-9.54,
12/16/2023,12/17/2023,PAYPAL *SPOTIFYUSAI,Bills & Utilities,Sale,-14.99,
12/12/2023,12/13/2023,Spectrum,Bills & Utilities,Sale,-54.99,
12/05/2023,12/06/2023,AMZN Mktp US*W29RX83R3,Shopping,Sale,-5.37,
12/03/2023,12/04/2023,PAYPAL *STEAM GAMES,Entertainment,Sale,-9.99,
12/03/2023,12/04/2023,PAYPAL *STEAM GAMES,Entertainment,Sale,-9.99,
12/02/2023,12/03/2023,Amazon Prime*VM9FE4WJ3,Bills & Utilities,Sale,-16.15,
12/02/2023,12/03/2023,Payment Thank You - Web,,Payment,899.82,
11/25/2023,11/26/2023,AMZN Mktp US*390AI70H3,Shopping,Sale,-107.71,
11/25/2023,11/26/2023,AMZN Mktp US*G11LP01I3,Shopping,Sale,-14.00,
11/23/2023,11/24/2023,AMZN Mktp US*ZH8YG7ME3,Shopping,Sale,-8.61,
11/23/2023,11/24/2023,PAYPAL *STEAM GAMES,Entertainment,Sale,-4.99,
11/20/2023,11/21/2023,CRUNCHYROLL *TRIAL,Bills & Utilities,Sale,-9.99,
11/17/2023,11/19/2023,UCSD PARKING MOBILE EBIZ,Travel,Sale,-5.70,
11/17/2023,11/19/2023,AMZN Mktp US*JQ8EG47R3,Shopping,Sale,-18.26,
11/16/2023,11/17/2023,PAYPAL *SPOTIFYUSAI,Bills & Utilities,Sale,-14.99,
11/13/2023,11/14/2023,AMZN Mktp US*UO1M02Y73,Shopping,Sale,-30.17,
11/13/2023,11/13/2023,Amazon.com*TY19V8GD3,Shopping,Sale,-16.11,
11/13/2023,11/13/2023,AMZN Mktp US*336MQ9BO3,Shopping,Sale,-24.23,
11/12/2023,11/13/2023,Amazon.com*F50Z44GY3,Shopping,Sale,-16.11,
11/13/2023,11/13/2023,AMZN Mktp US*N41B927I3,Shopping,Sale,-9.69,
11/12/2023,11/13/2023,AMZN Mktp US*F36MT0H03,Shopping,Sale,-35.97,
11/12/2023,11/13/2023,Spectrum,Bills & Utilities,Sale,-54.99,
11/12/2023,11/13/2023,AMZN Mktp US*K62CR1DB3,Shopping,Sale,-10.71,
11/11/2023,11/12/2023,AMZN Mktp US*DA9RY1BA3,Shopping,Sale,-263.98,
11/10/2023,11/12/2023,AMZN Mktp US*5O16F9T73,Shopping,Sale,-30.33,
11/06/2023,11/07/2023,AMZN Mktp US*SY7M52Y23,Shopping,Sale,-21.98,
11/05/2023,11/06/2023,Amazon.com*0A5IB9Q73,Shopping,Sale,-15.34,
11/05/2023,11/06/2023,AMZN Mktp US*BO3M20CE3,Shopping,Sale,-14.01,
11/03/2023,11/05/2023,RALPHS 0077,Groceries,Sale,-68.74,
11/01/2023,11/03/2023,BURGER KING #16576 Q07,Food & Drink,Sale,-19.48,
11/02/2023,11/03/2023,SDSU,Education,Sale,-57.60,
11/01/2023,11/02/2023,Payment Thank You - Web,,Payment,394.55,
11/02/2023,11/02/2023,Amazon Prime*FR6024H03,Bills & Utilities,Sale,-16.15,
10/31/2023,11/01/2023,RALPHS 0108,Groceries,Sale,-9.98,
10/27/2023,10/29/2023,CROSS BORDER XPRESS,Personal,Sale,-75.90,
10/26/2023,10/29/2023,5GUYS 0560 QSR,Food & Drink,Sale,-36.27,
10/27/2023,10/27/2023,WWW.MEXICOACH.COM,Travel,Sale,-28.00,
10/26/2023,10/27/2023,MARSHALLS #0546,Shopping,Sale,-43.09,
10/24/2023,10/25/2023,ZION MARKET SAN DIEGO,Groceries,Sale,-64.10,
10/23/2023,10/25/2023,RALPHS 0077,Groceries,Sale,-12.59,
10/23/2023,10/24/2023,NORTHGATE MARKET #036,Groceries,Sale,-101.68,
10/22/2023,10/23/2023,RALPHS 0077,Groceries,Sale,-32.69,
10/22/2023,10/23/2023,UCSD PARKING MOBILE EBIZ,Travel,Sale,-3.15,
10/20/2023,10/22/2023,COSTCO GAS #0488,Gas,Sale,-34.89,
10/20/2023,10/22/2023,COSTCO WHSE #0488,Shopping,Sale,-51.53,
10/20/2023,10/22/2023,GOOGLE *TikTok Live,Professional Services,Sale,-0.99,
10/21/2023,10/22/2023,SD TAPROOM,Food & Drink,Sale,-45.77,
10/20/2023,10/22/2023,COSTCO WHSE #0488,Shopping,Sale,-11.14,
10/21/2023,10/22/2023,SD TAPROOM,Food & Drink,Sale,-28.08,
10/18/2023,10/19/2023,TST* FERNSIDE,Food & Drink,Sale,-33.40,
10/17/2023,10/18/2023,GEICO  *AUTO,Bills & Utilities,Sale,-659.07,
10/17/2023,10/18/2023,PAYPAL *SPOTIFYUSAI,Bills & Utilities,Sale,-14.99,
10/17/2023,10/18/2023,IN N OUT BURGER 128,Food & Drink,Sale,-17.46,
10/16/2023,10/17/2023,FOOD4LESS 0333,Groceries,Sale,-6.49,
10/15/2023,10/17/2023,TARGET        00014100,Shopping,Sale,-62.31,
10/15/2023,10/16/2023,TST* RISE AND SHINE - BRE,Food & Drink,Sale,-13.00,
10/16/2023,10/16/2023,Amazon.com*TP1JG4K80,Shopping,Sale,-12.65,
10/14/2023,10/15/2023,REGENT UNIV CA SAN DIE,Education,Sale,-0.08,
10/14/2023,10/15/2023,REGENT UNIV CA SAN DIE,Education,Sale,-3.00,
10/14/2023,10/15/2023,DICE.FM,Entertainment,Sale,-48.42,
10/11/2023,10/13/2023,IN N OUT BURGER 128,Food & Drink,Sale,-17.46,
10/11/2023,10/13/2023,FOOD4LESS 0333,Groceries,Sale,-51.99,
10/12/2023,10/13/2023,Spectrum,Bills & Utilities,Sale,-54.99,
10/11/2023,10/12/2023,UCSD PARKING MOBILE EBIZ,Travel,Sale,-4.20,
10/09/2023,10/10/2023,Amazon.com*TE4ES2B10,Shopping,Sale,-26.92,
10/08/2023,10/09/2023,IN N OUT BURGER 128,Food & Drink,Sale,-17.46,
10/07/2023,10/08/2023,AMZN Mktp US*T92TU0S31,Shopping,Sale,-32.86,
10/05/2023,10/06/2023,Amazon.com*TE6KO0CH0,Shopping,Sale,-6.65,
10/06/2023,10/06/2023,AMZN Mktp US*TE6KY3A02,Shopping,Sale,-15.07,
10/05/2023,10/06/2023,Amazon.com*TE3KP1CV0,Shopping,Sale,-8.38,
10/05/2023,10/06/2023,AMZN Mktp US*TE7211CN0,Shopping,Sale,-9.69,
10/04/2023,10/05/2023,COSTCO WHSE #0488,Shopping,Sale,-89.49,
10/04/2023,10/05/2023,COSTCO WHSE #0488,Shopping,Sale,-5.78,
10/02/2023,10/03/2023,AMZN Mktp US*T90A787S2,Shopping,Sale,-22.40,
10/02/2023,10/03/2023,Amazon.com*T11TV7U41,Shopping,Sale,-20.24,
10/02/2023,10/03/2023,AMZN Mktp US*T91X92712,Shopping,Sale,-24.77,
10/01/2023,10/02/2023,AGI*RENTERS/CONDO INS,Bills & Utilities,Sale,-215.00,
10/02/2023,10/02/2023,Amazon Prime*T94MO07Q2,Bills & Utilities,Sale,-16.15,
10/02/2023,10/02/2023,AMZN Mktp US*T93Z76PK0,Shopping,Sale,-10.76,
09/22/2023,09/24/2023,SDSU,Education,Sale,-15.00,
09/17/2023,09/18/2023,PAYPAL *SPOTIFYUSAI,Bills & Utilities,Sale,-14.99,
09/12/2023,09/13/2023,Spectrum,Bills & Utilities,Sale,-54.99,
09/10/2023,09/11/2023,Amazon.com*TR8T780H0,Shopping,Sale,-16.13,
09/08/2023,09/11/2023,JCB INSURANCE SOLUTIONS,Bills & Utilities,Return,1813.71,
09/02/2023,09/03/2023,Amazon Prime*TL93593L0,Bills & Utilities,Sale,-16.15,
09/01/2023,09/03/2023,Payment Thank You - Web,,Payment,3943.52,
08/28/2023,08/29/2023,SDSU,Education,Sale,-7.00,
08/27/2023,08/28/2023,AMZN Mktp US*T33Q15ZM1,Shopping,Sale,-13.86,
08/26/2023,08/27/2023,Amazon.com*T359V6C41,Shopping,Sale,-23.69,
08/25/2023,08/27/2023,UC SAN DIEGO BOOKSTORE,Education,Sale,-44.11,
08/24/2023,08/25/2023,NORTHGATE MARKET #036,Groceries,Sale,-77.05,
08/24/2023,08/25/2023,CL *Chase Travel,Travel,Sale,-583.25,
08/24/2023,08/25/2023,COSTCO WHSE #0488,Shopping,Sale,-23.13,
08/23/2023,08/24/2023,Tacos El Gordo - Chula Vi,Food & Drink,Sale,-49.74,
08/23/2023,08/24/2023,SQ *AN'S DRY CLEANING,Groceries,Sale,-9.43,
08/23/2023,08/24/2023,WAL-MART #5338,Shopping,Sale,-29.41,
08/21/2023,08/22/2023,COSTCO WHSE #0488,Shopping,Return,53.87,
08/21/2023,08/22/2023,COSTCO WHSE #0488,Shopping,Sale,-33.84,
08/21/2023,08/22/2023,SDSU,Education,Sale,-15.00,
08/21/2023,08/22/2023,COSTCO WHSE #0488,Shopping,Sale,-5.78,
08/20/2023,08/21/2023,AMZN Mktp US*TQ55C7NR1,Shopping,Sale,-10.76,
08/20/2023,08/21/2023,AMZN Mktp US*TQ6KA2EB0,Shopping,Sale,-7.53,
08/18/2023,08/20/2023,COSTCO WHSE #0488,Shopping,Sale,-172.97,
08/18/2023,08/20/2023,COSTCO WHSE #0488,Shopping,Return,62.75,
08/18/2023,08/20/2023,IN N OUT BURGER 128,Food & Drink,Sale,-17.46,
08/18/2023,08/20/2023,COSTCO WHSE #0488,Shopping,Sale,-3.22,
08/18/2023,08/20/2023,LOWES #01013*,Home,Sale,-16.10,
08/18/2023,08/20/2023,CVS/PHARMACY #09109,Health & Wellness,Sale,-14.39,
08/18/2023,08/20/2023,CVS/PHARMACY #09963,Health & Wellness,Sale,-35.00,
08/16/2023,08/18/2023,FOOD4LESS 0333,Groceries,Sale,-20.14,
08/17/2023,08/18/2023,PAYPAL *SPOTIFYUSAI,Bills & Utilities,Sale,-12.99,
08/15/2023,08/16/2023,SDSU,Education,Sale,-7.00,
08/14/2023,08/15/2023,Amazon.com*TO97S8SV2,Shopping,Sale,-24.77,
08/13/2023,08/14/2023,COSTCO WHSE #0488,Shopping,Sale,-117.95,
08/13/2023,08/14/2023,WAL-MART #2479,Groceries,Sale,-30.06,
08/13/2023,08/14/2023,FOOD4LESS 0333,Groceries,Sale,-78.52,
08/10/2023,08/11/2023,NORTHGATE MARKET #036,Groceries,Sale,-57.97,
08/10/2023,08/11/2023,SQ *ART OF ESPRESSO,Food & Drink,Sale,-10.00,
08/08/2023,08/09/2023,UCSD HDH CLUB MED,Education,Sale,-3.17,
08/06/2023,08/07/2023,Amazon.com*TA4M17EF0,Shopping,Sale,-16.30,
